commit	ad2_auroc	ad1_auroc	status	description
baseline	0.5440	0.9160	keep	kNN baseline (no projection) K=5 L11
nsp_k30	0.6790	0.9190	keep	NSP linear projection K=30 L11
aef6fde	0.6800	0.9430	keep	CLS+patch_mean L2norm K=30 L11
aa8974f	0.7140	0.9740	keep	Mahalanobis scoring + CLS+patch L2norm + NSP K=30 L11
exp3	0.7500	0.9640	keep	Mahalanobis + CLS+patch L2norm + NSP K=30 L8 (robust layer)
7f8d40e	0.7250	0.9770	discard	multi-layer 8+11 Mahalanobis NSP K=30 (worse than L8 only)
exp5	0.7850	0.9630	keep	Mahalanobis + CLS+patch L2norm + NSP K=50 L8
exp6	0.8380	0.9630	keep	Mahalanobis + CLS+patch L2norm + NSP K=100 L8
7c7b35b	0.7710	0.9640	discard	condition_union K=100 L8 (worse than standard PCA)
7c7b35b	0.8380	0.9630	discard	whitened PCA K=100 L8 (equal to standard not better)
b9c973f	0.7250	0.9640	discard	soft anomaly-preserving projection K=100 L8 (too conservative)
b5fdd9f	0.5900	0.9500	discard	RANP signal subspace n=200 L8 (AD2 worse than baseline + AD1 drops)
d34809f	0.8030	0.9320	discard	PCA-whitened Mahalanobis n_pca=200 K=100 L8 (AD2 worse than best)
d5cea64	0.5950	0.9630	discard	train-only nuisance n=500 L8 (no effect - low-var PCs != shift dirs)
9d4db29	0.6090	0.9640	discard	hybrid NSP filter_pct=50 K=100 L8 (filter too aggressive)
e0524b6	0.6670	0.9640	discard	adaptive K max=200 L8 (K selected too conservatively)
13e0695	0.7480	0.9640	discard	dual-space α=0.7 K=100 L8 (original space dilutes projected)
sapp_l11	0.7020	0.9750	discard	SAPP ω-gated L11 K=100 (worse than NSP by 8.9pp)
sapp_l8	0.7780	0.9630	discard	SAPP ω-gated L8 K=100 (worse than NSP by 6.0pp)
ttns_mean	0.5830	0.9300	discard	TTNS mean shift L8 (AD2 -1.6pp vs baseline)
ttns_cov	0.5060	0.3080	discard	TTNS covariance shift L8 (CRITICAL FAILURE: AD1=30.8%)
ttns_comb	0.4630	0.2490	discard	TTNS combined L8 (worst: anomaly direction destroyed)
random100	0.5980	0.9640	discard	Random projection K=100 L8 (neutral - no effect)
adabn	0.5830	0.7850	discard	AdaBN L8 (AD1 drops 18pp)
ifr_summed_k100	0.5950	0.9750	discard	IFR summed K=100 L8→L11 (no effect on AD2, layer residual ≠ shift)
ifr_stacked_k100	0.5970	0.9750	discard	IFR stacked K=100 L8→L11 (no effect)
ifr_summed_k200	0.5940	0.9750	discard	IFR summed K=200 L8→L11 (no effect)
nnpseudo_k100_rob80	0.5570	0.9999	discard	NN Pseudo-Pairing K=100 rob80 L8 (WORSE than baseline by -4.2pp)
nnpseudo_k100_norobust	0.5340	0.9999	discard	NN Pseudo-Pairing K=100 norobust L8 (anomaly contamination)
nnpseudo_k50_rob80	0.5060	0.9999	discard	NN Pseudo-Pairing K=50 rob80 L8 (worst variant, -9.3pp)
mincal_n10	0.6200	0.9999	keep	Minimal calibration N=10 pairs K=100 L8 (9% of full recovery)
mincal_n50	0.6800	0.9999	keep	Minimal calibration N=50 pairs K=100 L8 (33% of full recovery)
mincal_n100	0.7500	0.9999	keep	Minimal calibration N=100 pairs K=100 L8 (62% of full recovery)
mincal_full_global	0.8440	0.9999	keep	Minimal calibration N=full(315) global K=100 L8 (oracle global)
mincal_full_percat	0.8740	0.9999	keep	Minimal calibration N=full per-category K=100 L8 (oracle per-cat, best)
spad_patchcore	0.6620	0.9999	keep	SPAD diagnostic: PatchCore-style patch kNN L8 p95 (no shift correction)
spad_subtraction	0.6680	0.9999	discard	SPAD spatial mean subtraction L8 p95 (uniformity=2.6%, +0.5pp only)
patch_knn_l8	0.6070	0.9999	keep	Patch kNN L8 p95 coreset3000 (no projection, +2pp vs img baseline)
patch_nsp_global_k100	0.6950	0.9999	keep	Patch-level NSP global K=100 L8 p95 (+10.8pp vs baseline, paired)
